Code,CodePays,CodeVille,Nom,Type,Latitude,Longitude,FuseauHoraire,DecalageUTC
AAA,PF,AAA,Anaa,Airport,-17.3525,-145.51,Pacific/Tahiti,-10:00
AAB,AU,AAB,Arrabury,Airport,-26.6911,141.0472,Australia/Brisbane,+10:00
AAC,EG,AAC,Al Arish,Airport,31.0733,33.8358,Africa/Cairo,+02:00
AAD,SO,AAD,Adado,Airport,6.0961,46.6375,Africa/Mogadishu,+03:00
AAE,DZ,AAE,Annaba,Airport,36.8222,7.8092,Africa/Algiers,+01:00
AAF,US,AAF,Apalachicola,Airport,29.7333,-85.0333,America/New_York,-05:00
AAG,BR,AAG,Arapoti Avelino Vieira,Airport,-24.1036,-49.79,America/Araguaina,-03:00
AAH,DE,AAH,Aachen/Maastricht,Airport,50.8231,6.1864,Europe/Berlin,+01:00
AAI,BR,AAI,Arraias,Airport,-12.9167,-46.9333,America/Araguaina,-03:00
AAJ,SR,AAJ,Awaradam,Airport,3.9,-55.3667,America/Paramaribo,-03:00
AAK,KI,AAK,Aranuka,Airport,0.1853,173.6369,Pacific/Tarawa,+12:00
AAL,DK,AAL,Aalborg,Airport,57.0928,9.8492,Europe/Copenhagen,+01:00
AAM,ZA,AAM,Mala Mala,Airport,-24.8181,31.5447,Africa/Johannesburg,+02:00
AAN,AE,AAN,Al Ain,Airport,24.2617,55.6092,Asia/Dubai,+04:00
AAO,VE,AAO,Anaco,Airport,9.4167,-64.4667,America/Caracas,-04:00
AAQ,RU,AAQ,Anapa,Airport,45.0022,37.3472,Europe/Moscow,+03:00
AAR,DK,AAR,Aarhus,Airport,56.3039,10.6194,Europe/Copenhagen,+01:00
AAS,ID,AAS,Apalapsili,Airport,-3.9167,139.25,Asia/Jayapura,+09:00
AAT,CN,AAT,Altay,Airport,47.7506,88.0858,Asia/Shanghai,+08:00
AAU,WS,AAU,Asau,Airport,-13.4583,-172.6,Pacific/Apia,+13:00
AAV,PH,AAV,Alah,Airport,6.3333,124.7667,Asia/Manila,+08:00
AAX,BR,AAX,Araxa,Airport,-19.5633,-46.9603,America/Araguaina,-03:00
AAY,YE,AAY,Al Ghaydah,Airport,16.1936,52.1731,Asia/Aden,+03:00
AAZ,GT,AAZ,Quetzaltenango,Airport,14.8639,-91.5203,America/Guatemala,-06:00
ABA,RU,ABA,Abakan,Airport,53.74,91.385,Asia/Tomsk,+07:00
ABB,NG,ABB,Asaba International,Airport,6.2031,6.6672,Africa/Lagos,+01:00
ABC,ES,ABC,Albacete Airport,Airport,38.9486,-1.8636,Europe/Madrid,+01:00
ABD,IR,ABD,Abadan,Airport,30.3711,48.2283,Asia/Tehran,+03:30
ABE,US,ABE,Allentown/Bethlehem,Airport,40.6522,-75.4408,America/New_York,-05:00
ABF,KI,ABF,Abaiang,Airport,1.3817,173.1475,Pacific/Tarawa,+12:00
ABG,AU,ABG,Abingdon,Airport,-17.6667,143.2,Australia/Brisbane,+10:00
ABH,AU,ABH,Alpha,Airport,-23.7,146.5833,Australia/Brisbane,+10:00
ABI,US,ABI,Abilene,Airport,32.4114,-99.6819,America/Chicago,-06:00
ABJ,CI,ABJ,Abidjan,Airport,5.2614,-3.9264,Africa/Abidjan,+00:00
ABK,ET,ABK,Kebri Dahar,Airport,6.7339,44.2553,Africa/Addis_Ababa,+03:00
ABL,US,ABL,Ambler,Airport,67.1072,-157.8533,America/Anchorage,-09:00
ABM,AU,ABM,Bamaga,Airport,-10.9508,142.4594,Australia/Brisbane,+10:00
ABN,SR,ABN,Albina,Airport,5.5167,-54.05,America/Paramaribo,-03:00
ABO,CI,ABO,Aboisso,Airport,5.4667,-3.2,Africa/Abidjan,+00:00
ABP,PG,ABP,Atkamba,Airport,-6.0667,141.1,Pacific/Port_Moresby,+10:00
ABQ,US,ABQ,Albuquerque,Airport,35.0406,-106.6094,America/Denver,-07:00
ABR,US,ABR,Aberdeen (US),Airport,45.4536,-98.4256,America/Chicago,-06:00
ABS,EG,ABS,Abu Simbel,Airport,22.3758,31.6117,Africa/Cairo,+02:00
ABT,SA,ABT,Al-Baha,Airport,20.2961,41.6342,Asia/Riyadh,+03:00
ABU,ID,ABU,Atambua,Airport,-9.075,124.9039,Asia/Makassar,+08:00
ABV,NG,ABV,Abuja,Airport,9.0067,7.2631,Africa/Lagos,+01:00
ABW,PG,ABW,Abau,Airport,-10.1667,148.7,Pacific/Port_Moresby,+10:00
ABX,AU,ABX,Albury,Airport,-36.0678,146.9581,Australia/Sydney,+10:00
ABY,US,ABY,Albany (US),Airport,31.5356,-84.1944,America/New_York,-05:00
ABZ,GB,ABZ,Aberdeen,Airport,57.2042,-2.2003,Europe/London,+00:00
ACA,MX,ACA,Acapulco,Airport,16.7569,-99.7539,America/Mexico_City,-06:00
ACC,GH,ACC,Accra,Airport,5.6053,-0.1667,Africa/Accra,+00:00
ACD,CO,ACD,Acandi,Airport,8.5167,-77.3,America/Bogota,-05:00
ACE,ES,ACE,Lanzarote,Airport,28.9456,-13.6053,Atlantic/Canary,+00:00
ACF,CN,ACF,Alaer Talimu,Airport,40.4494,81.2675,Asia/Shanghai,+08:00
ACH,CH,ACH,Altenrhein,Airport,47.485,9.5608,Europe/Zurich,+01:00
ACI,GB,ACI,Alderney,Airport,49.7069,-2.2156,Europe/London,+00:00
ACJ,LK,ACJ,Anuradhapura,Airport,8.3,80.4267,Asia/Colombo,+05:30
ACK,US,ACK,Nantucket,Airport,41.2531,-70.0603,America/New_York,-05:00
ACL,CO,ACL,Aguaclara,Airport,4.75,-73.0,America/Bogota,-05:00
ACM,CO,ACM,Arica,Airport,-2.1333,-71.7833,America/Bogota,-05:00
ACN,MX,ACN,Ciudad Acuna International,Airport,29.3331,-101.0992,America/Matamoros,-06:00
ACO,CH,ACO,Ascona,Airport,46.1594,8.7667,Europe/Zurich,+01:00
ACP,IR,ACP,Maragheh Sahand,Airport,37.3481,46.1331,Asia/Tehran,+03:30
ACR,CO,ACR,Araracuara,Airport,-0.6008,-72.3964,America/Bogota,-05:00
ACS,RU,ACS,Achinsk,Airport,56.2697,90.5719,Asia/Tomsk,+07:00
ACT,US,ACT,Waco,Airport,31.6114,-97.2306,America/Chicago,-06:00
ACU,PA,ACU,Achutupo,Airport,8.4333,-77.9667,America/Panama,-05:00
ACV,US,ACV,Arcata/Eureka,Airport,40.9781,-124.1086,America/Los_Angeles,-08:00
ACX,CN,ACX,Xingyi,Airport,25.0856,104.9594,Asia/Shanghai,+08:00
ACY,US,ACY,Atlantic City,Airport,39.4575,-74.5772,America/New_York,-05:00
ACZ,IR,ACZ,Zabol,Airport,31.0983,61.5439,Asia/Tehran,+03:30
ADA,TR,ADA,Adana,Airport,36.9822,35.2803,Europe/Istanbul,+03:00
ADB,TR,IZM,Izmir,Airport,38.2925,27.1569,Europe/Istanbul,+03:00
ADC,PG,ADC,Andakombe,Airport,-7.15,145.75,Pacific/Port_Moresby,+10:00
ADD,ET,ADD,Addis Abeba,Airport,8.9778,38.7994,Africa/Addis_Ababa,+03:00
ADE,YE,ADE,Aden International,Airport,12.8294,45.0289,Asia/Aden,+03:00
ADF,TR,ADF,Adiyaman,Airport,37.7314,38.4689,Europe/Istanbul,+03:00
ADG,US,ADG,Adrian,Airport,41.9,-84.0333,America/New_York,-05:00
ADH,RU,ADH,Aldan,Airport,58.6028,125.4067,Asia/Yakutsk,+09:00
ADI,Unk,ADI,Arandis,Airport,-22.4,15.0,Africa/Windhoek,+02:00
ADJ,JO,AMM,Amman - Civil,Airport,31.9728,35.9917,Asia/Amman,+03:00
ADK,US,ADK,Adak Island,Airport,51.8811,-176.6483,America/Adak,-10:00
ADL,AU,ADL,Adelaide,Airport,-34.945,138.5306,Australia/Adelaide,+09:30
ADM,US,ADM,Ardmore Municipal,Airport,34.3,-97.0167,America/Chicago,-06:00
