AAL CPH EKYT EKCH
AAR CPH EKAH EKCH
ABJ BRU DIAP EBBR
ABQ DEN KABQ KDEN
ABQ IAH KABQ KIAH
ABQ ORD KABQ KORD
ABV FRA DNAA EDDF
ACE FRA GCRR EDDF
ACE MUC GCRR EDDM
ACE ZRH GCRR LSZH
ADA FRA LTAF EDDF
ADA MUC LTAF EDDM
ADB FRA LTBJ EDDF
ADB MUC LTBJ EDDM
ADB ZRH LTBJ LSZH
ADD BJM HAAB HBBA
ADD DAR HAAB HTDA
ADD FRA HAAB EDDF
ADD JRO HAAB HTKJ
ADD KGL HAAB HRYR
ADD KRT HAAB HSSK
ADD MBA HAAB HKMO
ADD NBO HAAB HKJK
ADD SEZ HAAB FSIA
ADD VIE HAAB LOWW
ADD ZNZ HAAB HTZA
ADL SIN YPAD WSSS
AES CPH ENAL EKCH
AES OSL ENAL ENGM
AEY ZRH BIAR LSZH
AGA FRA GMAD EDDF
AGP FRA LEMG EDDF
AGP GVA LEMG LSGG
AGP MUC LEMG EDDM
AGP VIE LEMG LOWW
AGP ZRH LEMG LSZH
AKL HKG NZAA VHHH
AKL IAH NZAA KIAH
AKL LAX NZAA KLAX
AKL SFO NZAA KSFO
AKL SIN NZAA WSSS
AKL YVR NZAA CYVR
ALA FRA UAAA EDDF
ALB EWR KALB KEWR
ALB IAD KALB KIAD
ALC FRA LEAL EDDF
ALC GVA LEAL LSGG
ALC MUC LEAL EDDM
ALC ZRH LEAL LSZH
ALG FRA DAAG EDDF
AMD BOM VAAH VABB
AMD DEL VAAH VIDP
AMM FRA OJAI EDDF
AMM VIE OJAI LOWW
AMS EWR EHAM KEWR
AMS FRA EHAM EDDF
AMS IAD EHAM KIAD
AMS IAH EHAM KIAH
AMS MUC EHAM EDDM
AMS ORD EHAM KORD
AMS SFO EHAM KSFO
AMS VIE EHAM LOWW
AMS YYZ EHAM CYYZ
AMS ZRH EHAM LSZH
ANC FRA PANC EDDF
AOI MUC LIPY EDDM
AOK VIE LGKP LOWW
AQJ ZRH OJAQ LSZH
ARN EWR ESSA KEWR
ARN FRA ESSA EDDF
ARN GVA ESSA LSGG
ARN HEL ESSA EFHK
ARN INN ESSA LOWI
ARN KRN ESSA ESNQ
ARN LLA ESSA ESPA
ARN MUC ESSA EDDM
ARN OSD ESSA ESNZ
ARN SFT ESSA ESNS
ARN TKU ESSA EFTU
ARN UME ESSA ESNU
ARN VAA ESSA EFVA
ARN VIE ESSA LOWW
ARN ZRH ESSA LSZH
ASE DEN KASE KDEN
ASE ORD KASE KORD
ASR FRA LTAU EDDF
ASR MUC LTAU EDDM
