Code,CodePays,Nom,FuseauHoraire,DecalageUTC
AAA,PF,Anaa,Pacific/Tahiti,-10:00
AAB,AU,Arrabury,Australia/Brisbane,+10:00
AAC,EG,El Arish,Africa/Cairo,+02:00
AAD,SO,Adado,Africa/Mogadishu,+03:00
AAE,DZ,Annaba,Africa/Algiers,+01:00
AAF,US,Apalachicola,America/New_York,-05:00
AAG,BR,Arapoti,America/Araguaina,-03:00
AAH,DE,Aachen,Europe/Berlin,+01:00
AAI,BR,Arraias,America/Araguaina,-03:00
AAJ,SR,Awaradam,America/Paramaribo,-03:00
AAK,KI,Aranuka,Pacific/Tarawa,+12:00
AAL,DK,Aalborg,Europe/Copenhagen,+01:00
AAM,ZA,Mala Mala,Africa/Johannesburg,+02:00
AAN,AE,Al Ain,Asia/Dubai,+04:00
AAO,VE,Anaco,America/Caracas,-04:00
AAQ,RU,Anapa,Europe/Moscow,+03:00
AAR,DK,Aarhus,Europe/Copenhagen,+01:00
AAS,ID,Apalapsili,Asia/Jayapura,+09:00
AAT,CN,Altay,Asia/Shanghai,+08:00
AAU,WS,Asau,Pacific/Apia,+13:00
AAV,PH,Surallah,Asia/Manila,+08:00
AAX,BR,Araxa,America/Araguaina,-03:00
AAY,YE,Al Ghaydah,Asia/Aden,+03:00
AAZ,GT,Quetzaltenango,America/Guatemala,-06:00
ABA,RU,Abakan,Asia/Tomsk,+07:00
ABB,NG,Asaba,Africa/Lagos,+01:00
ABC,ES,Albacete,Europe/Madrid,+01:00
ABD,IR,Abadan,Asia/Tehran,+03:30
ABE,US,Allentown/Bethlehem/Easton,America/New_York,-05:00
ABF,KI,Abaiang,Pacific/Tarawa,+12:00
ABG,AU,Abingdon Downs,Australia/Brisbane,+10:00
ABH,AU,Alpha,Australia/Brisbane,+10:00
ABI,US,Abilene,America/Chicago,-06:00
ABJ,CI,Abidjan,Africa/Abidjan,+00:00
ABK,ET,Kebri Dehar,Africa/Addis_Ababa,+03:00
ABL,US,Ambler,America/Anchorage,-09:00
ABM,AU,Bamaga,Australia/Brisbane,+10:00
ABN,SR,Albina,America/Paramaribo,-03:00
ABO,CI,Aboisso,Africa/Abidjan,+00:00
ABP,PG,Atkamba,Pacific/Port_Moresby,+10:00
ABQ,US,Albuquerque,America/Denver,-07:00
ABR,US,Aberdeen,America/Chicago,-06:00
ABS,EG,Abu Simbel,Africa/Cairo,+02:00
ABT,SA,Al Baha,Asia/Riyadh,+03:00
ABU,ID,Atambua,Asia/Makassar,+08:00
ABV,NG,Abuja,Africa/Lagos,+01:00
ABW,PG,Abau,Pacific/Port_Moresby,+10:00
ABX,AU,Albury,Australia/Sydney,+10:00
ABY,US,Albany. Georgia,America/New_York,-05:00
ABZ,GB,Aberdeen,Europe/London,+00:00
ACA,MX,Acapulco,America/Mexico_City,-06:00
ACC,GH,Accra,Africa/Accra,+00:00
ACD,CO,Acandi,America/Bogota,-05:00
ACE,ES,Lanzarote,Atlantic/Canary,+00:00
